vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 
El-Azar-us Azar | w_freq: 1 - 4 | wiki_freq: 0 - 211 | sentence_idx: 639384 | align_1: 8-11 | align_2: 9-21 |    He performed miracles and raised one man , El-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts . 

signatories signataires | w_freq: 93 - 129 | wiki_freq: 6286 - 5228 | sentence_idx: 639388 | align_1: 6-5 | align_2: 7-10 |    Even the great community of NPT signatories will not be enough . ||| Même la grande communauté des signataires du TNP n’ y suffira pas . 

hopefully espérons | w_freq: 189 - 1025 | wiki_freq: 3850 - 195 | sentence_idx: 639648 | align_1: 20-21 | align_2: 21-25 |    Which presumably gives $ 2.54 per annum to Afilias , with which it 'll do all the technical stuff and hopefully make a profit . ||| Ce qui donne probablement 2,54 dollars par an à Afilias , avec lequel il fera tout le travail technique et , espérons - le , fera des bénéfices . 

WEB WEB | w_freq: 349 - 363 | wiki_freq: 257 - 122 | sentence_idx: 640522 | align_1: 16-20 | align_2: 17-26 |    The most blatant example , is the report on " Education and Gender Equality " [ WEB issued in January 2005 . ||| L' exemple le plus flagrant , est le rapport sur " l' éducation et l' égalité des sexes " [ WEB en Anglais , qui est sorti en janvier 2005 . 

Should Faut | w_freq: 869 - 103 | wiki_freq: 9897 - 901 | sentence_idx: 643224 | align_1: 0-0 | align_2: 1-4 |    Should parliaments recover the power to legislate publically on these matters ? ||| Faut -il que les parlements récupèrent le pouvoir de légiférer publiquement en ces matières ? 

Ascension Ascension | w_freq: 125 - 125 | wiki_freq: 7261 - 3952 | sentence_idx: 643405 | align_1: 18-18 | align_2: 19-23 |    You are , so to say , the last brick in the wall of change and the resultant Ascension that everyone is waiting for . ||| Vous êtes , pour ainsi dire , la dernière brique dans le mur du changement et de l' Ascension qui en résulte , que tout le monde attend . 

woodlots boisés | w_freq: 1 - 2 | wiki_freq: 212 - 2035 | sentence_idx: 643834 | align_1: 7-7 | align_2: 8-11 |    Some timber in one of the larger woodlots would not have been harvested for 66 years . ||| Le bois dans un des plus grands boisés de ferme n’ aurait pas été récolté pendant 66 ans . 

NASB Ivano | w_freq: 1 - 2 | wiki_freq: 145 - 531 | sentence_idx: 645040 | align_1: 5-2 | align_2: 6-9 |    The NET Bible and the NASB read , “ The kingdom of God is in your midst , ” while the NIV says , “ within you . ” ||| Pour moi Ivano , je suis sûre que Jésus parlait au présent : " le Royaume des Cieux est au - dedans de vous " selon les traductions ou " au milieu de vous " selon d' autres . 

surprising étonnant | w_freq: 797 - 593 | wiki_freq: 14923 - 2814 | sentence_idx: 645834 | align_1: 4-2 | align_2: 5-7 |    So there is nothing surprising about the fact that Barak Obama was the first to congratulate the Tunisians on the result of these elections . ||| Rien d’ étonnant , en conséquence , à ce que Barak Obama soit le premier à féliciter les Tunisiens du résultat de ces élections . 

lied mentent | w_freq: 162 - 100 | wiki_freq: 7169 - 176 | sentence_idx: 648065 | align_1: 9-5 | align_2: 10-9 |    And those who prophesize the time , they have lied . ||| Ceux qui mentionnent le temps mentent ! » [ 120]. 

Schulz Schulz | w_freq: 26 - 26 | wiki_freq: 5367 - 1057 | sentence_idx: 648945 | align_1: 21-28 | align_2: 22-32 |    And even if there is a new election , the outcome would not be much different , unless SPD leader Martin Schulz steps down . ||| Et même s' il y a de nouvelles élections , le résultat risque de ne pas être très différent , à moins que le dirigeant du SPD Martin Schulz , ne se retire . 

Remember Souvenez | w_freq: 1056 - 146 | wiki_freq: 9753 - 82 | sentence_idx: 649396 | align_1: 0-0 | align_2: 1-4 |    Remember these two operators , and especially the modulo " % " , which you will need in your future programs . ||| Souvenez -vous bien de ces deux oprateurs , et surtout du modulo % , dont vous aurez besoin dans vos programmes futurs . 

Shreveport Shreveport | w_freq: 4 - 4 | wiki_freq: 5370 - 482 | sentence_idx: 650488 | align_1: 12-11 | align_2: 13-16 |    She said , " You 'll have your first service then in Shreveport , then you call me , afterwards . " ||| Elle a dit : « Tu auras ton premier service à Shreveport à ce moment -là , alors appelle -moi après cela . » 

capitalism capitalisme | w_freq: 647 - 711 | wiki_freq: 14781 - 5662 | sentence_idx: 651575 | align_1: 5-5 | align_2: 6-10 |    All this made totalitarian state capitalism a very attractive goal for intellectuals . ||| Tout ceci fait que le capitalisme d’ Etat totalitaire est un but très séduisant pour les intellectuels . 

moai moai | w_freq: 1 - 1 | wiki_freq: 331 - 13 | sentence_idx: 652200 | align_1: 7-7 | align_2: 8-11 |    So it can be deduced that this moai never rose over the ahu , perhaps because of its fracture or some other problem . ||| On peut donc en déduire que ce moai ne s’ est jamais élevé sur l’ ahu , peut-être à cause de sa fracture ou quelqu’ autre problème . 

antennas Antennes | w_freq: 38 - 2 | wiki_freq: 7574 - 299 | sentence_idx: 652347 | align_1: 2-1 | align_2: 3-6 |    Are the antennas both polarized properly ( the same as each other ) ? ||| Les Antennes sont - elles toutes deux polarisés correctement ( les mêmes que ) ? 

decriminalizing dépénalisation | w_freq: 2 - 6 | wiki_freq: 299 - 488 | sentence_idx: 653074 | align_1: 7-12 | align_2: 8-17 |    This European country five years ago proposed decriminalizing drug use in small quantities . ||| Ce pays d’ Europe a proposé il y a cinq ans la dépénalisation de l’ usage de drogue en petites quantités . 

contacting contactera | w_freq: 73 - 7 | wiki_freq: 3933 - 55 | sentence_idx: 653779 | align_1: 4-2 | align_2: 5-6 |    Will the interviewer be contacting candidates in a week for a second interview ? ||| L’ intervieweur contactera -t -il les candidats dans une semaine pour un deuxième entretien ? 

recommend recommande | w_freq: 1219 - 543 | wiki_freq: 13127 - 6843 | sentence_idx: 655571 | align_1: 9-9 | align_2: 10-14 |    In this respect , after my awakening , I recommend How much does your building weigh , Mr Foster ? , an example of how to confront the challenges of the creative process . ||| En ce sens , dans mon réveil , je recommande sans aucun doute , Combien pèse votre bâtiment , M. Foster ? , un exemple de la façon de faire face aux défis du processus créatif . 

Gottesfeld Gottesfeld | w_freq: 1 - 1 | wiki_freq: 33 - 3 | sentence_idx: 656853 | align_1: 3-2 | align_2: 4-7 |    Why was Marty Gottesfeld transferred to MDC Brooklyn and not directly to a low-security prison ? ||| Pourquoi Marty Gottesfeld a -t -il été transféré au MDC de Brooklyn et pas directement dans une prison à sécurité réduite ? 

E-6 E-6 | w_freq: 24 - 23 | wiki_freq: 341 - 46 | sentence_idx: 657315 | align_1: 0-0 | align_2: 1-4 |    E-6 No matter what I would say about Garnett , as I knew him , it would n't change our opinion . ||| E-6 ( 4 ) Peu importe ce que je pourrai dire de Garnett , tel que je le connaissais , cela ne changerait pas notre opinion . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 657440 | align_1: 0-0 | align_2: 1-5 |    Anyway , while read in such a moment it could find its way to the mind of a German only . ||| Quoi qu’ il en soit , tout lu dans un tel moment , il pourrait trouver son chemin à l’ esprit d’ un seul Allemand . 

diagram diagramme | w_freq: 53 - 48 | wiki_freq: 14916 - 3760 | sentence_idx: 657637 | align_1: 3-2 | align_2: 4-7 |    In the above diagram R1 and Y1 begin with a ball for their respective teams . ||| Dans le diagramme ci - dessus , R1 et Y1 commencent par un ballon pour leurs équipes respectives . 

newsletter bulletin | w_freq: 59 - 51 | wiki_freq: 10225 - 6066 | sentence_idx: 658597 | align_1: 3-2 | align_2: 4-7 |    In the previous newsletter we mentioned that a part of the funds meant for provision of the compensations is currently kept in Latvian Citadele bank . ||| Dans le bulletin d' information précédent , nous avons mentionné qu' une partie des fonds destinés à la provision des compensations est actuellement conservée dans la banque lettonienne Citadele . 

complaining engagements | w_freq: 90 - 663 | wiki_freq: 6880 - 8466 | sentence_idx: 659806 | align_1: 12-15 | align_2: 13-22 |    Remember what happened when the children of Israel were in the wilderness complaining against God ? ” ||| Quels sont les engagements des fils d’ Israël vis-à-vis d' Allah et quels dont les engagements d' Allah vis - à vis d’ Israël ? 

Fascism fascisme | w_freq: 29 - 175 | wiki_freq: 3585 - 4690 | sentence_idx: 662326 | align_1: 17-23 | align_2: 18-27 |    He knows that he can not persuade France to accept neo-liberalism ( 1 ) , and ultimately Fascism directly . ||| Il sait qu’ il ne peut pas persuader la France d’ accepter le néolibéralisme [ 1 ] , et au final , le fascisme , de façon directe . 

truthful véridique | w_freq: 67 - 48 | wiki_freq: 2359 - 556 | sentence_idx: 663700 | align_1: 2-1 | align_2: 3-8 |    He is truthful and they are the liars . " ||| est véridique dans ce qu' il dit , et eux sont des menteurs ' " . 

Matters Rien | w_freq: 36 - 688 | wiki_freq: 7957 - 4523 | sentence_idx: 664350 | align_1: 9-9 | align_2: 10-14 |    And you must understand the greatest truth : Nothing Matters . ||| Et tu dois comprendre la plus grande vérité : Rien n’ a d’ importance . 

Whatever Quel | w_freq: 531 - 1214 | wiki_freq: 7726 - 2271 | sentence_idx: 664747 | align_1: 0-0 | align_2: 1-5 |    Whatever daily objective the owner of the Maestro has set himself , the MEMO is there to remind him of his commitments . ||| Quel que soit l’ objectif quotidien que le propriétaire de la Maestro s’ est fixé , le MEMO est là pour le rappeler à ses engagements . 

Perfection perfection | w_freq: 11 - 279 | wiki_freq: 1466 - 3537 | sentence_idx: 665674 | align_1: 0-1 | align_2: 1-5 |    Perfection endures for all time in the eternal Paradise created by Allah . ||| La perfection et l’ excellence dureront toujours dans le paradis éternel créé par Allah . 

12:43 12:43 | w_freq: 1 - 1 | wiki_freq: 38 - 1 | sentence_idx: 666138 | align_1: 1-2 | align_2: 2-6 |    Luke 12:43 reads , “ Blessed is that servant , whom his lord when he cometh shall find so doing . ” ||| Selon Luc 12:43 , Christ a déclaré : “ Heureux cet esclave , si son maître , en arrivant , le trouve faisant ainsi ! ” 

moderation modération | w_freq: 105 - 111 | wiki_freq: 3360 - 2022 | sentence_idx: 667612 | align_1: 8-11 | align_2: 9-16 |    Actually , there is some scientific merit in moderation please . ||| En fait , il y a quelque mérite scientifique pour la modération , s' il vous plaît . 

Reestablishing Rétablir | w_freq: 1 - 12 | wiki_freq: 21 - 23 | sentence_idx: 667722 | align_1: 0-0 | align_2: 1-5 |    Reestablishing state control over the movements of capital is the only effective response to that danger . ||| Rétablir le contrôle de l’ État sur les mouvements du capital est la seule réponse efficace à ce danger . 

tire pneus | w_freq: 30 - 89 | wiki_freq: 11122 - 9106 | sentence_idx: 668090 | align_1: 5-4 | align_2: 6-10 |    No issues with the 2019 tire means we can continue with the same product for another year . ” ||| Aucun problème avec les pneus 2019 , ce qui veut dire que nous pouvons continuer avec le même produit une année de plus . " 

bourgeoisie bourgeoisie | w_freq: 155 - 160 | wiki_freq: 4386 - 10093 | sentence_idx: 668365 | align_1: 5-5 | align_2: 6-10 |    Can significant sectors of the bourgeoisie choose a new protectionism while free trade agreements are still widening ? ||| Des secteurs significatifs de la bourgeoisie peuvent -ils faire le choix d’ un nouveau protectionnisme , alors que les accords de libre - échange s’ étendent encore ? 

please veuillez | w_freq: 1007 - 209 | wiki_freq: 10803 - 95 | sentence_idx: 668659 | align_1: 6-6 | align_2: 7-13 |    If you are financially able , please consider helping this young mother . ||| Si vous êtes financièrement capable , veuillez s’ il - vous - plaît envisager d’ aider cette jeune mère . 

imagine Imagine | w_freq: 1640 - 31 | wiki_freq: 9379 - 818 | sentence_idx: 671268 | align_1: 1-0 | align_2: 2-4 |    Just imagine how much fun this will be , but also what you will learn . ||| Imagine - toi à combien ce sera amusant , mais également tout ce que tu vas apprendre . 

reparation réparation | w_freq: 48 - 257 | wiki_freq: 1593 - 10873 | sentence_idx: 671944 | align_1: 13-17 | align_2: 14-22 |    Nothing was more legitimate than compassion and , as far as possible , reparation of the victims . ||| Rien n’ est plus légitime que la compassion et , dans la mesure du possible , la réparation , à l’ égard des victimes . 

Devlin Devlin | w_freq: 6 - 7 | wiki_freq: 4962 - 452 | sentence_idx: 672882 | align_1: 3-3 | align_2: 4-9 |    The artist Molly Devlin is happy to make a comeback this year by taking part in this production , which promises to be interesting by its diversity . ||| L’ artiste Molly Devlin , pour sa part , est heureuse de faire un retour cette année en prenant part à cette production qui promet d’ être intéressante par sa diversité . 

excuses hérésies | w_freq: 124 - 14 | wiki_freq: 2275 - 671 | sentence_idx: 674207 | align_1: 2-3 | align_2: 3-8 |    All such excuses recall Satan ’s first lie , “ did God really say ? ” ||| A toutes les hérésies du monde , à redonner la parole au Perfide et à sa première suggestion : " Dieu a - t - Il réellement dit ? " . 

excuses hérésies | w_freq: 124 - 14 | wiki_freq: 2275 - 671 | sentence_idx: 674208 | align_1: 2-3 | align_2: 3-8 |    All such excuses recall Satan ’s first lie , “ did God really say ? ” ||| A toutes les hérésies du monde , à redonner la parole au Perfide et à sa première suggestion : " Dieu a - t - Il réellement dit ? " . 

Bunyan Bunyan | w_freq: 1 - 1 | wiki_freq: 1841 - 235 | sentence_idx: 674710 | align_1: 1-1 | align_2: 2-10 |    John Bunyan said , “ He who runs from God in the morning will scarcely find Him the rest of the day . ” ||| John Bunyan , l’ auteur du Voyage du Pèlerin , disait avec une pointe d’ humour : « Celui qui court loin de Dieu dès le matin aura du mal à la retrouver pendant le reste de la journée » 

hinder entravera | w_freq: 100 - 4 | wiki_freq: 4903 - 19 | sentence_idx: 675990 | align_1: 7-7 | align_2: 8-12 |    First , they believe the system will hinder NATO activities in Turkey because , they say , it could gather data on NATO installations and transfer it to the Kremlin . ||| Premièrement , ils pensent que le système entravera les activités de l’ OTAN en Turquie parce que , selon eux , la Russie pourrait recueillir des données sur les installations de l’ OTAN et les transférer au Kremlin . 
